date,supplier,factory,warehouse,retailer,volume,lead_time_days,transport_cost,delay_days,quality_score,defect_rate,production_cost
2023-01-25,Gamma Raw,Secondary Plant,US Hub,AmeriShop,340,36,2928,2,0.81,0.059,10880
2023-02-25,Gamma Raw,Secondary Plant,US Hub,AmeriShop,380,40,3096,3,0.78,0.066,12160
2023-03-25,Gamma Raw,Secondary Plant,US Hub,AmeriShop,320,35,2844,1,0.83,0.055,10240
2023-04-25,Gamma Raw,Secondary Plant,US Hub,AmeriShop,360,38,3012,2,0.80,0.062,11520
2023-05-25,Gamma Raw,Secondary Plant,US Hub,AmeriShop,400,42,3180,4,0.76,0.072,12800
2023-06-25,Gamma Raw,Secondary Plant,US Hub,AmeriShop,330,34,2886,1,0.84,0.053,10560
2023-07-25,Gamma Raw,Secondary Plant,US Hub,AmeriShop,370,37,3054,2,0.81,0.060,11840
2023-08-25,Gamma Raw,Secondary Plant,US Hub,AmeriShop,350,41,2970,3,0.79,0.068,11200
2023-09-25,Gamma Raw,Secondary Plant,US Hub,AmeriShop,310,36,2802,2,0.82,0.057,9920
2023-01-28,Gamma Raw,Main Plant,EU Hub,GlobalStore,240,38,2040,2,0.80,0.062,7680
2023-02-28,Gamma Raw,Main Plant,EU Hub,GlobalStore,260,40,2110,3,0.78,0.067,8320
2023-03-28,Gamma Raw,Main Plant,EU Hub,GlobalStore,220,35,1970,1,0.83,0.054,7040
2023-04-28,Gamma Raw,Main Plant,EU Hub,GlobalStore,250,39,2075,2,0.79,0.063,8000
2023-05-28,Gamma Raw,Main Plant,EU Hub,GlobalStore,280,43,2180,4,0.76,0.073,8960
2023-06-28,Gamma Raw,Main Plant,EU Hub,GlobalStore,230,36,2005,1,0.82,0.057,7360
2023-07-28,Gamma Raw,Main Plant,EU Hub,GlobalStore,255,37,2093,2,0.81,0.061,8160
2023-08-28,Gamma Raw,Main Plant,EU Hub,GlobalStore,245,42,2058,3,0.78,0.069,7840
2023-09-28,Gamma Raw,Main Plant,EU Hub,GlobalStore,215,36,1953,1,0.83,0.055,6880
2023-01-30,Alpha Materials,Secondary Plant,US Hub,AmeriShop,320,46,2844,2,0.88,0.031,14400
2023-02-30,Alpha Materials,Secondary Plant,US Hub,AmeriShop,350,44,2970,2,0.90,0.028,15750
2023-03-30,Alpha Materials,Secondary Plant,US Hub,AmeriShop,300,48,2760,3,0.87,0.033,13500
2023-04-30,Alpha Materials,Secondary Plant,US Hub,AmeriShop,340,45,2928,2,0.89,0.030,15300
2023-05-30,Alpha Materials,Secondary Plant,US Hub,AmeriShop,360,49,3012,4,0.86,0.036,16200
2023-06-30,Alpha Materials,Secondary Plant,US Hub,AmeriShop,310,43,2802,1,0.91,0.027,13950
2023-07-30,Alpha Materials,Secondary Plant,US Hub,AmeriShop,330,46,2886,2,0.88,0.031,14850
2023-08-30,Alpha Materials,Secondary Plant,US Hub,AmeriShop,345,50,2949,4,0.85,0.037,15525
2023-09-30,Alpha Materials,Secondary Plant,US Hub,AmeriShop,295,44,2739,1,0.90,0.029,13275
2023-01-12,Beta Components,Main Plant,EU Hub,GlobalStore,200,27,1900,0,0.96,0.012,7600
2023-02-12,Beta Components,Main Plant,EU Hub,GlobalStore,230,29,2005,0,0.95,0.014,8740
2023-03-12,Beta Components,Main Plant,EU Hub,GlobalStore,185,28,1848,0,0.96,0.012,7030
2023-04-12,Beta Components,Main Plant,EU Hub,GlobalStore,215,30,1953,1,0.94,0.016,8170
2023-05-12,Beta Components,Main Plant,EU Hub,GlobalStore,240,26,2040,0,0.97,0.011,9120
2023-06-12,Beta Components,Main Plant,EU Hub,GlobalStore,195,31,1883,1,0.93,0.017,7410
2023-07-12,Beta Components,Main Plant,EU Hub,GlobalStore,210,28,1935,0,0.95,0.013,7980
2023-08-12,Beta Components,Main Plant,EU Hub,GlobalStore,220,30,1970,1,0.94,0.015,8360
2023-09-12,Beta Components,Main Plant,EU Hub,GlobalStore,180,27,1830,0,0.96,0.012,6840
